text,label
Very satisfied,positive
It's acceptable,neutral
Low quality,negative
Very disappointed,negative
It is okay,neutral
Works perfectly,positive
Average product,neutral
Works perfectly,positive
Average product,neutral
I don't mind using it,neutral
Very disappointed,negative
Average product,neutral
The worst product,negative
Works perfectly,positive
Superb quality,positive
Better than expected,positive
I enjoy using this,positive
I love this product,positive
I had a great experience,positive
It is okay,neutral
It's acceptable,neutral
Highly recommended,positive
Would not recommend,negative
Awful experience,negative
It does the job,neutral
Average product,neutral
I don't mind using it,neutral
Very disappointed,negative
I don't mind using it,neutral
Highly recommended,positive
Very satisfied,positive
The worst product,negative
It's acceptable,neutral
Not worth it,negative
I enjoy using this,positive
It is okay,neutral
I don't mind using it,neutral
The worst product,negative
Complete waste of money,negative
The worst product,negative
Absolutely fantastic,positive
It does the job,neutral
I had a great experience,positive
I enjoy using this,positive
Terrible experience,negative
Better than expected,positive
Very disappointed,negative
Nothing special,neutral
It's acceptable,neutral
Terrible experience,negative
Would not recommend,negative
Works perfectly,positive
I don't mind using it,neutral
I had a great experience,positive
Average product,neutral
Superb quality,positive
Low quality,negative
The worst product,negative
Neutral experience,neutral
Better than expected,positive
I love this product,positive
I don't mind using it,neutral
Neutral experience,neutral
I hate this,negative
I don't mind using it,neutral
Highly recommended,positive
Superb quality,positive
It is okay,neutral
It is okay,neutral
Very disappointed,negative
It does the job,neutral
Highly recommended,positive
Not worth it,negative
Better than expected,positive
"Not bad, not good",neutral
Low quality,negative
Absolutely fantastic,positive
I love this product,positive
Average product,neutral
I love this product,positive
Works perfectly,positive
Would not recommend,negative
Low quality,negative
Absolutely fantastic,positive
Superb quality,positive
Better than expected,positive
Terrible experience,negative
Neutral experience,neutral
Terrible experience,negative
I love this product,positive
Highly recommended,positive
Average product,neutral
Better than expected,positive
This is amazing,positive
Absolutely fantastic,positive
It broke immediately,negative
I love this product,positive
It's acceptable,neutral
Decent quality,neutral
I had a great experience,positive
Works fine,neutral
This is amazing,positive
The worst product,negative
I love this product,positive
I hate this,negative
Would not recommend,negative
Works perfectly,positive
Average product,neutral
I had a great experience,positive
Complete waste of money,negative
It does the job,neutral
I love this product,positive
Low quality,negative
I had a great experience,positive
Complete waste of money,negative
Not worth it,negative
Not worth it,negative
